曜日,層,行動,行為者率(％),行為者平均時間量(時間:分),全員平均時間量(時間:分),全員平均時間量の標準偏差(時間:分)
平日,国民全体,睡眠,99.5,7:15,7:12,1:37
平日,国民全体,食事,98.7,1:37,1:36,0:45
平日,国民全体,身のまわりの用事,97.4,1:18,1:16,0:46
平日,国民全体,療養・静養,7.8,2:38,0:12,1:10
平日,国民全体,仕事関連,53.6,7:56,4:15,4:28
平日,国民全体,仕事,52.9,7:54,4:11,4:26
平日,国民全体,仕事のつきあい,3.2,2:17,0:04,0:37
平日,国民全体,学業,10.6,7:57,0:51,2:42
平日,国民全体,授業・学内の活動,9.5,6:56,0:39,2:10
平日,国民全体,学校外の学習,7.8,2:26,0:11,0:53
平日,国民全体,家事,67.8,4:01,2:43,3:21
平日,国民全体,炊事・掃除・洗濯,55.3,2:27,1:22,1:49
平日,国民全体,買い物,35.5,1:11,0:25,0:46
平日,国民全体,子どもの世話,12.5,3:53,0:29,1:55
平日,国民全体,家庭雑事,31.5,1:56,0:36,1:25
平日,国民全体,通勤,44.5,1:21,0:36,0:57
平日,国民全体,通学,9.3,1:07,0:06,0:24
平日,国民全体,社会参加,4.6,1:51,0:05,0:34
平日,国民全体,会話・交際,15.5,1:13,0:11,0:39
平日,国民全体,レジャー活動,62.9,2:50,1:47,2:22
平日,国民全体,スポーツ,9.3,1:35,0:09,0:38
平日,国民全体,行楽・散策,11.9,1:57,0:14,0:57
平日,国民全体,趣味・娯楽・教養（インターネット除く）,17.7,2:16,0:24,1:07
平日,国民全体,趣味・娯楽・教養のインターネット（動画除く）,37.0,2:00,0:44,1:31
平日,国民全体,インターネット動画,19.9,2:00,0:24,1:09
平日,国民全体,マスメディア接触,86.8,4:40,4:03,3:32
平日,国民全体,テレビ,78.7,3:50,3:01,3:03
平日,国民全体,録画番組・ＤＶＤ,20.5,1:58,0:24,1:04
平日,国民全体,ラジオ,9.8,2:40,0:16,1:10
平日,国民全体,新聞,29.8,0:48,0:14,0:32
平日,国民全体,雑誌・マンガ・本,13.7,1:17,0:11,0:38
平日,国民全体,音楽,10.0,1:36,0:10,0:41
平日,国民全体,休息,39.6,1:08,0:27,0:55
平日,国民全体,その他・不明,41.2,1:40,0:41,1:15
平日,国民全体,必需行動,100.0,10:14,10:14,2:13
平日,国民全体,拘束行動,95.7,8:42,8:19,4:06
平日,国民全体,自由行動,95.3,5:00,4:46,3:24
平日,国民全体,在宅,95.1,15:56,15:09,6:13
平日,国民全体,起床在宅,94.1,9:03,8:31,5:03
平日,国民全体,テレビ（自宅内）,72.0,3:45,2:42,2:59
平日,国民全体,テレビ（自宅外）,15.2,2:06,0:19,1:06
平日,国民全体,テレビ（ながら）,58.2,2:05,1:13,1:45
平日,国民全体,テレビ（専　念）,67.0,2:42,1:48,2:11
土曜日,国民全体,睡眠,99.2,7:50,7:46,1:57
土曜日,国民全体,食事,99.3,1:49,1:48,0:50
土曜日,国民全体,身のまわりの用事,96.9,1:21,1:18,0:57
土曜日,国民全体,療養・静養,5.8,2:24,0:08,1:07
土曜日,国民全体,仕事関連,29.4,6:45,1:59,3:36
土曜日,国民全体,仕事,28.8,6:41,1:55,3:32
土曜日,国民全体,仕事のつきあい,2.1,2:48,0:04,0:36
土曜日,国民全体,学業,8.9,4:25,0:24,1:35
土曜日,国民全体,授業・学内の活動,4.3,4:08,0:11,1:00
土曜日,国民全体,学校外の学習,7.0,3:03,0:13,1:04
土曜日,国民全体,家事,74.4,4:23,3:15,3:34
土曜日,国民全体,炊事・掃除・洗濯,58.6,2:27,1:26,1:48
土曜日,国民全体,買い物,44.6,1:37,0:43,1:12
土曜日,国民全体,子どもの世話,15.0,4:43,0:43,2:26
土曜日,国民全体,家庭雑事,33.3,1:49,0:36,1:20
土曜日,国民全体,通勤,21.8,1:16,0:17,0:45
土曜日,国民全体,通学,3.5,1:13,0:03,0:18
土曜日,国民全体,社会参加,5.4,2:08,0:07,0:41
土曜日,国民全体,会話・交際,18.8,1:44,0:20,1:04
土曜日,国民全体,レジャー活動,68.1,3:51,2:37,3:11
土曜日,国民全体,スポーツ,9.4,1:40,0:09,0:39
土曜日,国民全体,行楽・散策,13.4,2:43,0:22,1:25
土曜日,国民全体,趣味・娯楽・教養（インターネット除く）,25.1,3:09,0:48,1:52
土曜日,国民全体,趣味・娯楽・教養のインターネット（動画除く）,38.5,2:27,0:57,1:53
土曜日,国民全体,インターネット動画,21.3,2:27,0:31,1:25
土曜日,国民全体,マスメディア接触,86.8,5:45,5:00,3:57
土曜日,国民全体,テレビ,77.8,4:36,3:35,3:29
土曜日,国民全体,録画番組・ＤＶＤ,25.4,2:21,0:36,1:24
土曜日,国民全体,ラジオ,9.9,2:57,0:17,1:12
土曜日,国民全体,新聞,31.4,0:52,0:16,0:34
土曜日,国民全体,雑誌・マンガ・本,16.8,1:39,0:17,0:50
土曜日,国民全体,音楽,11.1,2:01,0:13,0:56
土曜日,国民全体,休息,37.4,1:22,0:31,1:07
土曜日,国民全体,その他・不明,42.6,1:43,0:44,1:20
土曜日,国民全体,必需行動,100.0,10:58,10:58,2:21
土曜日,国民全体,拘束行動,90.8,6:20,5:46,4:10
土曜日,国民全体,自由行動,96.5,6:47,6:33,3:46
土曜日,国民全体,在宅,95.1,18:22,17:28,6:22
土曜日,国民全体,起床在宅,94.6,10:50,10:15,5:05
土曜日,国民全体,テレビ（自宅内）,70.9,4:33,3:14,3:28
土曜日,国民全体,テレビ（自宅外）,14.0,2:28,0:21,1:16
土曜日,国民全体,テレビ（ながら）,54.3,2:21,1:17,1:53
土曜日,国民全体,テレビ（専　念）,69.5,3:18,2:18,2:33
日曜日,国民全体,睡眠,99.3,8:05,8:02,1:57
日曜日,国民全体,食事,99.3,1:52,1:51,0:52
日曜日,国民全体,身のまわりの用事,95.7,1:19,1:15,0:50
日曜日,国民全体,療養・静養,2.1,3:20,0:04,0:59
日曜日,国民全体,仕事関連,19.9,6:19,1:16,3:00
日曜日,国民全体,仕事,19.3,6:21,1:14,2:58
日曜日,国民全体,仕事のつきあい,1.4,2:21,0:02,0:23
日曜日,国民全体,学業,9.3,4:06,0:23,1:34
日曜日,国民全体,授業・学内の活動,2.7,4:26,0:07,0:52
日曜日,国民全体,学校外の学習,7.5,3:26,0:16,1:13
日曜日,国民全体,家事,77.1,4:33,3:31,3:36
日曜日,国民全体,炊事・掃除・洗濯,59.4,2:32,1:30,1:52
日曜日,国民全体,買い物,48.6,1:44,0:50,1:16
日曜日,国民全体,子どもの世話,14.0,5:07,0:43,2:32
日曜日,国民全体,家庭雑事,32.5,2:03,0:40,1:31
日曜日,国民全体,通勤,13.4,1:16,0:10,0:37
日曜日,国民全体,通学,1.7,1:03,0:01,0:11
日曜日,国民全体,社会参加,7.4,2:08,0:10,0:48
日曜日,国民全体,会話・交際,18.1,1:41,0:18,0:57
日曜日,国民全体,レジャー活動,71.8,4:22,3:08,3:31
日曜日,国民全体,スポーツ,11.7,2:01,0:14,0:57
日曜日,国民全体,行楽・散策,23.9,3:06,0:44,2:00
日曜日,国民全体,趣味・娯楽・教養（インターネット除く）,24.9,3:28,0:52,2:03
日曜日,国民全体,趣味・娯楽・教養のインターネット（動画除く）,37.3,2:29,0:56,1:53
日曜日,国民全体,インターネット動画,21.0,2:31,0:32,1:26
日曜日,国民全体,マスメディア接触,87.1,5:34,4:51,3:56
日曜日,国民全体,テレビ,78.5,4:38,3:38,3:31
日曜日,国民全体,録画番組・ＤＶＤ,22.3,2:19,0:31,1:17
日曜日,国民全体,ラジオ,8.4,2:43,0:14,1:06
日曜日,国民全体,新聞,26.2,0:51,0:13,0:32
日曜日,国民全体,雑誌・マンガ・本,15.8,1:37,0:15,0:46
日曜日,国民全体,音楽,9.2,1:42,0:09,0:39
日曜日,国民全体,休息,36.5,1:22,0:30,1:06
日曜日,国民全体,その他・不明,36.5,1:40,0:36,1:12
日曜日,国民全体,必需行動,100.0,11:10,11:10,2:20
日曜日,国民全体,拘束行動,89.2,5:52,5:14,3:58
日曜日,国民全体,自由行動,96.5,7:15,7:00,3:51
日曜日,国民全体,在宅,94.0,18:23,17:17,6:39
日曜日,国民全体,起床在宅,92.8,10:52,10:05,5:01
日曜日,国民全体,テレビ（自宅内）,71.2,4:31,3:13,3:27
日曜日,国民全体,テレビ（自宅外）,13.8,3:02,0:25,1:28
日曜日,国民全体,テレビ（ながら）,52.6,2:19,1:13,1:50
日曜日,国民全体,テレビ（専　念）,71.4,3:23,2:25,2:43
