曜日,層,行動,行為者率(％),行為者平均時間量(時間:分),全員平均時間量(時間:分),全員平均時間量の標準偏差(時間:分)
平日,男１０代,睡眠,98.9,7:40,7:35,1:24
平日,男２０代,睡眠,100.0,7:27,7:27,1:14
平日,男３０代,睡眠,99.5,7:23,7:21,1:44
平日,男４０代,睡眠,99.7,6:59,6:58,1:38
平日,男５０代,睡眠,99.4,6:56,6:54,1:32
平日,男６０代,睡眠,99.7,7:11,7:10,1:28
平日,男７０歳以上,睡眠,99.6,7:57,7:55,1:43
平日,女１０代,睡眠,100.0,7:33,7:33,1:32
平日,女２０代,睡眠,99.4,7:33,7:31,1:54
平日,女３０代,睡眠,99.6,7:19,7:17,1:34
平日,女４０代,睡眠,99.0,6:57,6:53,1:31
平日,女５０代,睡眠,99.2,6:39,6:36,1:22
平日,女６０代,睡眠,99.7,6:53,6:52,1:23
平日,女７０歳以上,睡眠,99.4,7:25,7:22,1:41
平日,男１０代,食事,98.9,1:14,1:13,0:36
平日,男２０代,食事,97.3,1:28,1:25,0:53
平日,男３０代,食事,97.3,1:27,1:25,0:46
平日,男４０代,食事,97.6,1:26,1:24,0:43
平日,男５０代,食事,98.5,1:32,1:31,0:47
平日,男６０代,食事,99.2,1:38,1:37,0:39
平日,男７０歳以上,食事,99.8,1:53,1:53,0:45
平日,女１０代,食事,100.0,1:19,1:19,0:36
平日,女２０代,食事,96.0,1:27,1:24,0:46
平日,女３０代,食事,98.0,1:33,1:32,0:40
平日,女４０代,食事,98.0,1:33,1:31,0:43
平日,女５０代,食事,99.5,1:35,1:35,0:42
平日,女６０代,食事,98.6,1:44,1:43,0:42
平日,女７０歳以上,食事,99.8,1:56,1:56,0:44
平日,男１０代,身のまわりの用事,99.5,1:05,1:05,0:31
平日,男２０代,身のまわりの用事,100.0,1:02,1:02,0:29
平日,男３０代,身のまわりの用事,98.9,1:14,1:13,0:58
平日,男４０代,身のまわりの用事,97.0,1:10,1:08,0:45
平日,男５０代,身のまわりの用事,95.9,1:07,1:04,0:33
平日,男６０代,身のまわりの用事,97.0,1:11,1:09,0:40
平日,男７０歳以上,身のまわりの用事,94.8,1:12,1:09,0:43
平日,女１０代,身のまわりの用事,100.0,1:15,1:15,0:33
平日,女２０代,身のまわりの用事,98.3,1:30,1:28,0:46
平日,女３０代,身のまわりの用事,98.0,1:21,1:19,0:45
平日,女４０代,身のまわりの用事,99.7,1:24,1:24,0:49
平日,女５０代,身のまわりの用事,97.9,1:30,1:28,0:49
平日,女６０代,身のまわりの用事,98.1,1:22,1:20,0:43
平日,女７０歳以上,身のまわりの用事,95.5,1:28,1:24,0:55
平日,男１０代,療養・静養,4.3,1:08,0:03,0:15
平日,男２０代,療養・静養,3.6,0:41,0:01,0:08
平日,男３０代,療養・静養,2.2,1:19,0:02,0:15
平日,男４０代,療養・静養,3.8,1:40,0:04,0:34
平日,男５０代,療養・静養,5.0,2:15,0:07,0:51
平日,男６０代,療養・静養,5.5,2:06,0:07,0:38
平日,男７０歳以上,療養・静養,15.1,3:42,0:33,2:12
平日,女１０代,療養・静養,4.9,2:41,0:08,0:44
平日,女２０代,療養・静養,4.5,1:32,0:04,0:22
平日,女３０代,療養・静養,8.8,1:48,0:09,0:36
平日,女４０代,療養・静養,4.9,2:35,0:08,0:55
