曜日,層,行動,時刻(時間:分),行為者率(%)
平日,国民全体,睡眠,0:00,83.9
平日,国民全体,睡眠,0:15,84.5
平日,国民全体,睡眠,0:30,86.8
平日,国民全体,睡眠,0:45,87.0
平日,国民全体,睡眠,1:00,90.1
平日,国民全体,睡眠,1:15,90.5
平日,国民全体,睡眠,1:30,91.9
平日,国民全体,睡眠,1:45,92.1
平日,国民全体,睡眠,2:00,94.1
平日,国民全体,睡眠,2:15,94.1
平日,国民全体,睡眠,2:30,94.6
平日,国民全体,睡眠,2:45,94.5
平日,国民全体,睡眠,3:00,94.9
平日,国民全体,睡眠,3:15,95.1
平日,国民全体,睡眠,3:30,94.9
平日,国民全体,睡眠,3:45,94.7
平日,国民全体,睡眠,4:00,93.4
平日,国民全体,睡眠,4:15,93.0
平日,国民全体,睡眠,4:30,91.1
平日,国民全体,睡眠,4:45,90.5
平日,国民全体,睡眠,5:00,83.4
平日,国民全体,睡眠,5:15,81.8
平日,国民全体,睡眠,5:30,72.9
平日,国民全体,睡眠,5:45,70.0
平日,国民全体,睡眠,6:00,52.3
平日,国民全体,睡眠,6:15,48.4
平日,国民全体,睡眠,6:30,34.4
平日,国民全体,睡眠,6:45,30.8
平日,国民全体,睡眠,7:00,18.2
平日,国民全体,睡眠,7:15,16.5
平日,国民全体,睡眠,7:30,10.6
平日,国民全体,睡眠,7:45,9.9
平日,国民全体,睡眠,8:00,6.3
平日,国民全体,睡眠,8:15,6.0
平日,国民全体,睡眠,8:30,5.1
平日,国民全体,睡眠,8:45,4.8
平日,国民全体,睡眠,9:00,3.3
平日,国民全体,睡眠,9:15,3.2
平日,国民全体,睡眠,9:30,3.1
平日,国民全体,睡眠,9:45,3.1
平日,国民全体,睡眠,10:00,2.6
平日,国民全体,睡眠,10:15,2.6
平日,国民全体,睡眠,10:30,2.4
平日,国民全体,睡眠,10:45,2.4
平日,国民全体,睡眠,11:00,2.1
平日,国民全体,睡眠,11:15,2.1
平日,国民全体,睡眠,11:30,2.0
平日,国民全体,睡眠,11:45,2.0
平日,国民全体,睡眠,12:00,1.6
平日,国民全体,睡眠,12:15,1.9
平日,国民全体,睡眠,12:30,2.6
平日,国民全体,睡眠,12:45,2.7
平日,国民全体,睡眠,13:00,2.8
平日,国民全体,睡眠,13:15,2.7
平日,国民全体,睡眠,13:30,2.9
平日,国民全体,睡眠,13:45,3.1
平日,国民全体,睡眠,14:00,3.3
平日,国民全体,睡眠,14:15,3.2
平日,国民全体,睡眠,14:30,2.9
平日,国民全体,睡眠,14:45,2.7
平日,国民全体,睡眠,15:00,2.4
平日,国民全体,睡眠,15:15,2.3
平日,国民全体,睡眠,15:30,2.1
平日,国民全体,睡眠,15:45,2.1
平日,国民全体,睡眠,16:00,1.9
平日,国民全体,睡眠,16:15,1.9
平日,国民全体,睡眠,16:30,1.7
平日,国民全体,睡眠,16:45,1.6
平日,国民全体,睡眠,17:00,1.3
平日,国民全体,睡眠,17:15,1.3
平日,国民全体,睡眠,17:30,1.2
平日,国民全体,睡眠,17:45,1.2
平日,国民全体,睡眠,18:00,1.0
平日,国民全体,睡眠,18:15,0.9
平日,国民全体,睡眠,18:30,0.8
平日,国民全体,睡眠,18:45,0.8
平日,国民全体,睡眠,19:00,1.0
平日,国民全体,睡眠,19:15,0.9
平日,国民全体,睡眠,19:30,1.1
平日,国民全体,睡眠,19:45,1.1
平日,国民全体,睡眠,20:00,1.8
平日,国民全体,睡眠,20:15,1.9
平日,国民全体,睡眠,20:30,2.7
平日,国民全体,睡眠,20:45,2.7
平日,国民全体,睡眠,21:00,8.5
平日,国民全体,睡眠,21:15,8.9
平日,国民全体,睡眠,21:30,13.3
平日,国民全体,睡眠,21:45,13.9
平日,国民全体,睡眠,22:00,24.8
平日,国民全体,睡眠,22:15,25.7
平日,国民全体,睡眠,22:30,33.9
平日,国民全体,睡眠,22:45,35.1
平日,国民全体,睡眠,23:00,51.4
平日,国民全体,睡眠,23:15,53.1
平日,国民全体,睡眠,23:30,64.0
平日,国民全体,睡眠,23:45,66.2
平日,国民全体,食事,0:00,0.5
平日,国民全体,食事,0:15,0.5
平日,国民全体,食事,0:30,0.5
平日,国民全体,食事,0:45,0.5
平日,国民全体,食事,1:00,0.3
平日,国民全体,食事,1:15,0.3
平日,国民全体,食事,1:30,0.2
平日,国民全体,食事,1:45,0.2
平日,国民全体,食事,2:00,0.1
平日,国民全体,食事,2:15,0.1
平日,国民全体,食事,2:30,0.2
平日,国民全体,食事,2:45,0.2
平日,国民全体,食事,3:00,0.1
平日,国民全体,食事,3:15,0.1
平日,国民全体,食事,3:30,0.2
平日,国民全体,食事,3:45,0.2
平日,国民全体,食事,4:00,0.3
平日,国民全体,食事,4:15,0.2
平日,国民全体,食事,4:30,0.4
平日,国民全体,食事,4:45,0.6
平日,国民全体,食事,5:00,1.1
平日,国民全体,食事,5:15,1.8
平日,国民全体,食事,5:30,2.9
平日,国民全体,食事,5:45,3.7
平日,国民全体,食事,6:00,7.6
平日,国民全体,食事,6:15,8.1
平日,国民全体,食事,6:30,12.3
平日,国民全体,食事,6:45,14.6
平日,国民全体,食事,7:00,20.2
平日,国民全体,食事,7:15,19.0
平日,国民全体,食事,7:30,15.8
平日,国民全体,食事,7:45,14.6
