大分類,中分類,モデル用定義,小分類,具体例
必需行動,睡眠,睡眠,睡眠,30分以上連続した睡眠、仮眠、昼寝
必需行動,食事,食事,食事,朝食、昼食、夕食、夜食、給食
必需行動,身のまわりの用事,身のまわりの用事,身のまわりの用事,洗顔、トイレ、入浴、着替え、化粧、散髪
必需行動,療養・静養,療養・静養,療養・静養,医者に行く、治療を受ける、入院、療養中
拘束行動,仕事関連,仕事,仕事,何らかの収入を得る行動、準備・片付け・移動なども含む
拘束行動,仕事関連,仕事のつきあい,仕事のつきあい,上司・同僚・部下との仕事上のつきあい、送別会
拘束行動,学業,授業・学内の活動,授業・学内の活動,授業(オンライン授業も含む)、朝礼、掃除、学校行事、部活動、クラブ活動
拘束行動,学業,学校外の学習,学校外の学習,自宅や学習塾での学習、宿題
拘束行動,家事,炊事・掃除・洗濯,炊事・掃除・洗濯,食事の支度・後片付け、掃除、洗濯・アイロンがけ
拘束行動,家事,買い物,買い物,食料品・衣料品・生活用品などの買い物(インターネットでの購入も含む)
拘束行動,家事,子どもの世話,子どもの世話,子どもの相手、勉強をみる、送り迎え
拘束行動,家事,家庭雑事,家庭雑事,整理・片付け、銀行・役所に行く、子ども以外の家族の世話・介護・看病
拘束行動,通勤,通勤,通勤,自宅と職場（田畑などを含む）の往復
拘束行動,通学,通学,通学,自宅と学校の往復
拘束行動,社会参加,社会参加,社会参加,PTA、地域の行事・会合への参加、冠婚葬祭、ボランティア活動
自由行動,会話・交際,会話・交際,会話・交際,家族・友人・知人・親戚とのつきあい、おしゃべり、電話、電子メール、家族・友人・知人とのインターネットでのやりとり
自由行動,レジャー活動,スポーツ,スポーツ,体操、運動、各種スポーツ、ボール遊び
自由行動,レジャー活動,行楽・散策,行楽・散策,行楽地・繁華街へ行く、街をぶらぶら歩く、散歩、釣り
自由行動,レジャー活動,趣味・娯楽・教養,趣味・娯楽・教養(インターネット除く),趣味・けいこごと・習いごと、観賞、観戦、遊び、ゲーム
自由行動,レジャー活動,趣味・娯楽・教養,趣味・娯楽・教養のインターネット(動画除く),趣味・娯楽としてインターネットやSNSを使う※
自由行動,レジャー活動,趣味・娯楽・教養,インターネット動画,インターネット経由の動画を見る
自由行動,マスメディア接触,マスメディア接触,テレビ,BS、CS、CATV、ワンセグの視聴も含む
自由行動,マスメディア接触,マスメディア接触,録画番組・DVD,録画したテレビ番組や、DVD・ブルーレイディスクを見る
自由行動,マスメディア接触,マスメディア接触,ラジオ,らじる★らじる、radiko（ラジコ）からの聴取も含む
自由行動,マスメディア接触,マスメディア接触,新聞,朝刊・夕刊・業界紙・広報紙を読む（チラシ・電子版も含む）
自由行動,マスメディア接触,マスメディア接触,雑誌・マンガ・本,週刊誌・月刊誌・マンガ・本を読む(カタログ・電子版も含む)
自由行動,マスメディア接触,マスメディア接触,音楽,CD・テープ・レコード・インター ネット配信などラジオ以外で音楽を聞く
自由行動,休息,休息,休息,休憩、おやつ、お茶、特に何もしていない状態
