"tab_code","表章事項","cat01_code","国籍総数か日本人","cat02_code","男女","cat03_code","年齢","area_code","全国～人口50万以上の市","time_code","時間軸（年次）","unit","value"
"2020_01","人口","0","国籍総数","1","男","001","0歳","00000","全国","2020000000","2020年","人","425174"
"2020_01","人口","0","国籍総数","1","男","002","1歳","00000","全国","2020000000","2020年","人","443318"
"2020_01","人口","0","国籍総数","1","男","003","2歳","00000","全国","2020000000","2020年","人","465785"
"2020_01","人口","0","国籍総数","1","男","004","3歳","00000","全国","2020000000","2020年","人","477647"
"2020_01","人口","0","国籍総数","1","男","005","4歳","00000","全国","2020000000","2020年","人","499265"
"2020_01","人口","0","国籍総数","1","男","006","5歳","00000","全国","2020000000","2020年","人","511421"
"2020_01","人口","0","国籍総数","1","男","007","6歳","00000","全国","2020000000","2020年","人","511271"
"2020_01","人口","0","国籍総数","1","男","008","7歳","00000","全国","2020000000","2020年","人","522070"
"2020_01","人口","0","国籍総数","1","男","009","8歳","00000","全国","2020000000","2020年","人","524058"
"2020_01","人口","0","国籍総数","1","男","010","9歳","00000","全国","2020000000","2020年","人","537831"
"2020_01","人口","0","国籍総数","1","男","011","10歳","00000","全国","2020000000","2020年","人","542356"
"2020_01","人口","0","国籍総数","1","男","012","11歳","00000","全国","2020000000","2020年","人","545009"
"2020_01","人口","0","国籍総数","1","男","013","12歳","00000","全国","2020000000","2020年","人","554827"
"2020_01","人口","0","国籍総数","1","男","014","13歳","00000","全国","2020000000","2020年","人","552460"
"2020_01","人口","0","国籍総数","1","男","015","14歳","00000","全国","2020000000","2020年","人","547479"
"2020_01","人口","0","国籍総数","1","男","016","15歳","00000","全国","2020000000","2020年","人","549189"
"2020_01","人口","0","国籍総数","1","男","017","16歳","00000","全国","2020000000","2020年","人","571502"
"2020_01","人口","0","国籍総数","1","男","018","17歳","00000","全国","2020000000","2020年","人","577524"
"2020_01","人口","0","国籍総数","1","男","019","18歳","00000","全国","2020000000","2020年","人","590473"
"2020_01","人口","0","国籍総数","1","男","020","19歳","00000","全国","2020000000","2020年","人","591341"
"2020_01","人口","0","国籍総数","1","男","021","20歳","00000","全国","2020000000","2020年","人","599122"
"2020_01","人口","0","国籍総数","1","男","022","21歳","00000","全国","2020000000","2020年","人","595722"
"2020_01","人口","0","国籍総数","1","男","023","22歳","00000","全国","2020000000","2020年","人","607438"
"2020_01","人口","0","国籍総数","1","男","024","23歳","00000","全国","2020000000","2020年","人","607959"
"2020_01","人口","0","国籍総数","1","男","025","24歳","00000","全国","2020000000","2020年","人","607628"
"2020_01","人口","0","国籍総数","1","男","026","25歳","00000","全国","2020000000","2020年","人","616283"
"2020_01","人口","0","国籍総数","1","男","027","26歳","00000","全国","2020000000","2020年","人","617665"
"2020_01","人口","0","国籍総数","1","男","028","27歳","00000","全国","2020000000","2020年","人","608393"
"2020_01","人口","0","国籍総数","1","男","029","28歳","00000","全国","2020000000","2020年","人","617037"
"2020_01","人口","0","国籍総数","1","男","030","29歳","00000","全国","2020000000","2020年","人","614709"
"2020_01","人口","0","国籍総数","1","男","031","30歳","00000","全国","2020000000","2020年","人","627959"
"2020_01","人口","0","国籍総数","1","男","032","31歳","00000","全国","2020000000","2020年","人","639989"
"2020_01","人口","0","国籍総数","1","男","033","32歳","00000","全国","2020000000","2020年","人","661486"
"2020_01","人口","0","国籍総数","1","男","034","33歳","00000","全国","2020000000","2020年","人","678489"
"2020_01","人口","0","国籍総数","1","男","035","34歳","00000","全国","2020000000","2020年","人","689108"
"2020_01","人口","0","国籍総数","1","男","036","35歳","00000","全国","2020000000","2020年","人","712613"
"2020_01","人口","0","国籍総数","1","男","037","36歳","00000","全国","2020000000","2020年","人","737068"
"2020_01","人口","0","国籍総数","1","男","038","37歳","00000","全国","2020000000","2020年","人","746200"
"2020_01","人口","0","国籍総数","1","男","039","38歳","00000","全国","2020000000","2020年","人","746742"
"2020_01","人口","0","国籍総数","1","男","040","39歳","00000","全国","2020000000","2020年","人","754232"
"2020_01","人口","0","国籍総数","1","男","041","40歳","00000","全国","2020000000","2020年","人","787456"
"2020_01","人口","0","国籍総数","1","男","042","41歳","00000","全国","2020000000","2020年","人","807174"
"2020_01","人口","0","国籍総数","1","男","043","42歳","00000","全国","2020000000","2020年","人","836725"
"2020_01","人口","0","国籍総数","1","男","044","43歳","00000","全国","2020000000","2020年","人","858743"
"2020_01","人口","0","国籍総数","1","男","045","44歳","00000","全国","2020000000","2020年","人","899348"
"2020_01","人口","0","国籍総数","1","男","046","45歳","00000","全国","2020000000","2020年","人","934925"
"2020_01","人口","0","国籍総数","1","男","047","46歳","00000","全国","2020000000","2020年","人","987951"
"2020_01","人口","0","国籍総数","1","男","048","47歳","00000","全国","2020000000","2020年","人","1001876"
"2020_01","人口","0","国籍総数","1","男","049","48歳","00000","全国","2020000000","2020年","人","984614"
"2020_01","人口","0","国籍総数","1","男","050","49歳","00000","全国","2020000000","2020年","人","953624"
"2020_01","人口","0","国籍総数","1","男","051","50歳","00000","全国","2020000000","2020年","人","923018"
"2020_01","人口","0","国籍総数","1","男","052","51歳","00000","全国","2020000000","2020年","人","906390"
"2020_01","人口","0","国籍総数","1","男","053","52歳","00000","全国","2020000000","2020年","人","884012"
"2020_01","人口","0","国籍総数","1","男","054","53歳","00000","全国","2020000000","2020年","人","880302"
"2020_01","人口","0","国籍総数","1","男","055","54歳","00000","全国","2020000000","2020年","人","683281"
"2020_01","人口","0","国籍総数","1","男","056","55歳","00000","全国","2020000000","2020年","人","842548"
"2020_01","人口","0","国籍総数","1","男","057","56歳","00000","全国","2020000000","2020年","人","788824"
"2020_01","人口","0","国籍総数","1","男","058","57歳","00000","全国","2020000000","2020年","人","767258"
"2020_01","人口","0","国籍総数","1","男","059","58歳","00000","全国","2020000000","2020年","人","741565"
"2020_01","人口","0","国籍総数","1","男","060","59歳","00000","全国","2020000000","2020年","人","725108"
"2020_01","人口","0","国籍総数","1","男","061","60歳","00000","全国","2020000000","2020年","人","726778"
"2020_01","人口","0","国籍総数","1","男","062","61歳","00000","全国","2020000000","2020年","人","738473"
"2020_01","人口","0","国籍総数","1","男","063","62歳","00000","全国","2020000000","2020年","人","713490"
"2020_01","人口","0","国籍総数","1","男","064","63歳","00000","全国","2020000000","2020年","人","691447"
"2020_01","人口","0","国籍総数","1","男","065","64歳","00000","全国","2020000000","2020年","人","722715"
"2020_01","人口","0","国籍総数","1","男","066","65歳","00000","全国","2020000000","2020年","人","741752"
